Option,First-year,Sophomore,Junior,Senior
36,16,8,10,3
35,39,39,14,15
34,44,24,24,30
33,18,21,16,8
32,20,17,7,7
31,13,9,9,9
30,9,8,7,7
29,12,7,7,2
<29,14,3,5,7
