Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
36,6,20,8,3
35,36,47,20,4
34,49,48,21,4
33,16,29,18,1
32,17,20,7,7
31,12,19,7,2
30,9,11,9,2
29,15,6,6,1
<29,12,13,3,2
