Option,Heterosexual,Gay,Bisexual,Other
36,33,0,0,4
35,84,12,8,2
34,88,8,22,4
33,47,6,4,7
32,45,3,2,1
31,32,2,4,2
30,25,3,1,2
29,24,4,0,0
<29,27,1,1,1
