Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
36,4,14,7,8,4
35,2,47,22,30,6
34,7,51,15,41,7
33,1,28,8,20,7
32,4,18,6,15,8
31,4,17,6,9,4
30,2,11,6,9,3
29,2,12,7,6,1
<29,4,16,2,6,2
