Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
36,1,9,15,6,5
35,7,30,40,23,7
34,7,24,44,34,13
33,5,20,19,12,8
32,4,15,13,13,6
31,5,8,13,11,3
30,1,6,8,13,3
29,2,6,7,7,6
<29,6,7,3,8,6
