Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
36,3,15,8,0,0,0,1,0
35,5,28,26,7,2,0,0,0
34,0,10,36,12,1,2,0,0
33,0,4,9,16,4,0,0,0
32,0,1,1,14,3,5,1,1
31,0,1,1,7,3,7,3,1
30,0,0,3,3,5,1,1,0
29,0,0,0,2,3,4,5,1
<29,0,0,0,1,4,2,8,2
