Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
36,18,3,9,4,2,1
35,49,23,23,7,3,2
34,67,17,26,5,4,3
33,23,12,23,4,1,1
32,25,6,13,4,3,0
31,17,3,13,4,1,1
30,10,2,11,1,5,1
29,13,6,4,4,0,1
<29,12,6,10,1,0,0
