Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
36,11,21,1,4,0
35,38,59,1,6,3
34,49,59,0,9,5
33,23,30,1,8,1
32,5,26,4,16,0
31,8,22,0,7,3
30,12,16,1,2,0
29,8,13,1,4,2
<29,6,16,0,7,1
