Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
Pre-medical courses were too challenging,0,2,3,3,2,1,0,0
Not Pre-medical courses were too challenging,21,216,241,146,71,45,32,13
