Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
I was discouraged from pursuing medical school by friends or peers,2,3,0,1,1
Not I was discouraged from pursuing medical school by friends or peers,71,261,346,238,102
