Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
I was discouraged from pursuing medical school by my pre-medical advising experience,2,1,1,0,0,0
Not I was discouraged from pursuing medical school by my pre-medical advising experience,442,151,264,105,33,19
