Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
I was discouraged from pursuing medical school by friends or peers,5,1,0,1,0
Not I was discouraged from pursuing medical school by friends or peers,354,494,23,121,26
