Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
I was discouraged from pursuing medical school by friends or peers,2,3,2,0
Not I was discouraged from pursuing medical school by friends or peers,332,449,189,49
