Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
Pre-medical courses were too challenging,6,7,2,0
Not Pre-medical courses were too challenging,328,445,189,49
