Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
I was discouraged from pursuing medical school by my pre-medical advising experience,1,0,2,1,0
Not I was discouraged from pursuing medical school by my pre-medical advising experience,527,60,189,160,76
