Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
I was discouraged from pursuing medical school by family members,0,1,1,0,2,0,0,0
Not I was discouraged from pursuing medical school by family members,21,217,243,149,71,46,32,13
