Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
I was discouraged from pursuing medical school by my pre-medical advising experience,0,2,0,0,2
Not I was discouraged from pursuing medical school by my pre-medical advising experience,73,262,346,239,101
