Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
I was discouraged from pursuing medical school by friends or peers,1,1,3,1,0,0,0,0
Not I was discouraged from pursuing medical school by friends or peers,20,217,241,148,73,46,32,13
