Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
I was discouraged from pursuing medical school by family members,0,2,0,2,0
Not I was discouraged from pursuing medical school by family members,54,435,170,298,65
