Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
I was discouraged from pursuing medical school by friends or peers,6,0,1,0,0
Not I was discouraged from pursuing medical school by friends or peers,522,60,190,161,76
