Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
I am no longer interested in becoming a doctor,14,31,9,3
Not I am no longer interested in becoming a doctor,320,421,182,46
