Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
I was discouraged from pursuing medical school by family members,2,0,2,0,0,0
Not I was discouraged from pursuing medical school by family members,442,152,263,105,33,19
