Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
I was discouraged from pursuing medical school by family members,2,1,1,0
Not I was discouraged from pursuing medical school by family members,332,451,190,49
