Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
I was discouraged from pursuing medical school by friends or peers,5,1,0,0,0,1
Not I was discouraged from pursuing medical school by friends or peers,439,151,265,105,33,18
