Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
I was discouraged from pursuing medical school by family members,1,1,0,1,1
Not I was discouraged from pursuing medical school by family members,358,494,23,121,25
