Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
I was discouraged from pursuing medical school by friends or peers,0,3,1,1,2
Not I was discouraged from pursuing medical school by friends or peers,54,434,169,299,63
