Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
I was discouraged from pursuing medical school by my pre-medical advising experience,2,1,0,1,0
Not I was discouraged from pursuing medical school by my pre-medical advising experience,357,494,23,121,26
