Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
I was discouraged from pursuing medical school by my pre-medical advising experience,1,1,1,1
Not I was discouraged from pursuing medical school by my pre-medical advising experience,333,451,190,48
