Option,"Physical sciences (incl. math, CS)","Not Physical sciences (incl. math, CS)"
I was discouraged from pursuing medical school by my pre-medical advising experience,1,3
Not I was discouraged from pursuing medical school by my pre-medical advising experience,351,662
