Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
None,175,250,102,28
Just loans,20,26,16,2
Grants and loans,62,100,30,8
"Grants, covering some costs",60,67,30,10
"Grants, covering all costs",32,23,21,3
