Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
None,20,142,145,77,28,7,3,1
Just loans,2,14,15,7,9,3,1,0
Grants and loans,0,38,40,33,16,13,9,2
"Grants, covering some costs",1,27,43,27,12,13,9,5
"Grants, covering all costs",2,7,5,10,12,13,10,5
