Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
None,555,0,0,0,0
Just loans,0,64,0,0,0
Grants and loans,0,0,200,0,0
"Grants, covering some costs",0,0,0,167,0
"Grants, covering all costs",0,0,0,0,80
