Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
None,30,256,85,153,31
Just loans,4,28,14,18,0
Grants and loans,12,78,27,66,16
"Grants, covering some costs",8,67,33,48,11
"Grants, covering all costs",5,27,18,24,6
