Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
None,209,271,12,55,8
Just loans,22,32,2,8,0
Grants and loans,55,100,4,33,8
"Grants, covering some costs",57,77,4,21,8
"Grants, covering all costs",21,41,5,9,2
