Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
None,42,153,188,134,37
Just loans,7,12,26,9,10
Grants and loans,12,47,64,58,19
"Grants, covering some costs",12,49,56,28,21
"Grants, covering all costs",6,16,25,16,17
