Option,I was discouraged from pursuing medical school by friends or peers,Not I was discouraged from pursuing medical school by friends or peers
None,6,522
Just loans,0,60
Grants and loans,1,190
"Grants, covering some costs",0,161
"Grants, covering all costs",0,76
