Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
None,92,229,187,43,3
Just loans,9,20,27,7,1
Grants and loans,24,82,70,23,1
"Grants, covering some costs",18,64,60,23,1
"Grants, covering all costs",15,30,30,5,0
