Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
None,110,196,211,31,5
Just loans,9,25,27,3,0
Grants and loans,48,57,79,13,3
"Grants, covering some costs",28,64,65,10,0
"Grants, covering all costs",24,26,26,4,0
